income,expenses,debts,savings,payment_history,credit_utilization,length_of_credit_history,new_credit_inquiries,credit_mix,credit_score,normalized_credit_score,risk_level,Disposable Income,DTI,Savings Rate,Expense Ratio,balance,credit_limit,utilization_ratio
57450,23215,16741,32560,2.4746930863665733,0.2914012184508268,0.5667536988685814,1.4746930863665733,1.9449256316826953,1.5524232145078563,976.9163839896604,High Risk,34235,29.140121845082678,56.67536988685814,40.40905134899913,15819,117484.06606534855,0.13464804658021406
47926,26945,16416,19339,1.7786602338096122,0.34252806409881903,0.4035179234653424,0.7786602338096121,1.178057992202729,1.130276239781603,860.8259659399408,High Risk,20981,34.252806409881906,40.35179234653424,56.22209239243834,2923,61253.375121832345,0.04771981942523465
59715,24026,10317,34657,2.485432448181137,0.17277066063803065,0.5803734405090848,1.4854324481811372,3.359212949500824,1.5948170362169845,988.5746849596708,High Risk,35689,17.277066063803066,58.03734405090848,40.23444695637612,24340,206568.63768537366,0.11783008433774177
72845,31104,17897,39951,2.3419817386831276,0.24568604571350128,0.5484384652344018,1.3419817386831276,2.2322735654020227,1.4782532947833118,956.5196560654108,High Risk,41741,24.56860457135013,54.84384652344018,42.69888118608004,22054,169895.68894228083,0.1298090618855695
46487,41971,7549,3761,1.1075981034523839,0.16238948523243057,0.08090433884741971,0.10759810345238378,0.4982116836667108,0.6408968205366179,726.2466256475699,High Risk,4516,16.238948523243057,8.090433884741971,90.2854561490309,-3788,27809.682342032058,-0.13621155227202103
46487,22289,11729,23025,2.08564762887523,0.25230709660765377,0.4952997612235679,1.08564762887523,1.9630829567738086,1.3204824488247198,913.132673426798,High Risk,24198,25.230709660765378,49.529976122356786,47.946737797663864,11296,95906.93375394322,0.11778084813951802
73688,40008,5004,33179,1.8418316336732654,0.06790793616328303,0.4502632721745739,0.8418316336732653,6.630495603517186,1.3599308867625977,923.9809938597144,High Risk,33680,6.790793616328303,45.02632721745739,54.29377917707089,28175,495965.59552358114,0.05680837593231886
61511,22183,22793,37048,2.7728891493486003,0.37055160865536246,0.6022987758287136,1.7728891493486003,1.6254113104900627,1.7277549578457134,1025.1326134075712,High Risk,39328,37.055160865536244,60.22987758287136,36.06346832273902,14255,106133.66419514763,0.1343117672239166
42957,21523,13842,20049,1.995864888723691,0.32222920595013615,0.46672253648997836,0.9958648887236909,1.4484178586909406,1.263487597166616,897.4590892208195,High Risk,21434,32.22292059501362,46.67225364899784,50.10359196405708,6207,66517.86866059818,0.09331327243316671
58138,38185,25834,17369,1.5225350268430011,0.44435653101241873,0.2987546871237401,0.5225350268430011,0.6723310366184099,0.9841932446106707,820.6531422679344,High Risk,19953,44.435653101241876,29.87546871237401,65.67993395025628,-8465,44903.132074010995,-0.1885169165047925
43048,39219,19014,1927,1.0976312501593615,0.4416929938673109,0.044763984389518674,0.09763125015936154,0.10134637635426527,0.6957488030045073,741.3309208262395,High Risk,3829,44.16929938673109,4.476398438951867,91.10527782939974,-17087,8668.917218891344,-1.9710650786656414
43014,38514,17240,2776,1.1168406293815236,0.4007997396196587,0.06453712744687776,0.1168406293815236,0.16102088167053363,0.69900702487395,742.2269318403362,High Risk,4500,40.07997396196587,6.453712744687776,89.53828985911564,-14464,11227.552204176334,-1.2882594297463874
53629,16842,12068,35580,3.184241776511103,0.22502750377594213,0.6634470156072274,2.184241776511103,2.9482930062976465,1.9826005800894946,1095.215159524611,High Risk,36787,22.502750377594214,66.34470156072274,31.404650468962686,23512,163477.79441498176,0.14382381462962326
