income,expenses,debts,savings
57450,23215,16741,32560
47926,26945,16416,19339
59715,24026,10317,34657
72845,31104,17897,39951
46487,41971,7549,3761
46487,22289,11729,23025
73688,40008,5004,33179
61511,22183,22793,37048
42957,21523,13842,20049
58138,38185,25834,17369
43048,39219,19014,1927
43014,38514,17240,2776
53629,16842,12068,35580
21300,25340,9768,0
24126,38229,17614,0
41565,30415,14642,9685
34807,19263,8303,14713
54713,34583,7415,19388
36379,22851,10206,12507
28815,47945,24104,0
71984,45448,26066,23929
46613,36040,16024,8970
51012,43610,15744,5827
28628,30647,13318,0
41834,37654,10327,3147
51663,44777,21875,4698
32735,32454,24367,0
55635,27448,10532,27133
40990,12953,14585,26578
45624,29168,12750,15181
40974,38234,12898,1450
77784,39456,20929,36235
49797,35043,8440,13910
34134,24587,17332,7813
62338,10231,18641,50242
31687,25047,14289,5211
53132,26956,19465,24229
20604,26870,15738,0
30077,36185,21085,0
52952,49856,7388,2357
61076,31235,13256,28515
52570,27832,14640,23274
48265,27407,1638,20694
45483,31243,9570,13283
27822,21717,10932,5011
39202,31201,19741,6026
43090,34508,11465,7435
65856,32096,10909,32669
55154,34575,19087,18670
23554,34337,6910,0
54861,12281,4643,42115
44223,36368,13192,6535
39846,23289,7761,15780
59175,19041,7951,39338
65464,18955,17867,44722
63969,34335,19379,27696
37411,27774,18944,7742
45361,13180,20543,30126
54968,34780,21205,18067
64633,15603,4357,48594
42812,31398,17252,9688
47215,32384,12351,13595
33404,38855,11262,0
32056,47816,17802,0
62187,16353,6348,45199
70343,29475,6244,40243
48919,27236,18167,19866
65052,34337,17438,28971
55424,32156,15683,21699
40323,26474,10600,12789
55420,25590,18719,27958
73070,18835,18401,52394
49462,39878,15426,8041
73469,34592,9113,37965
10703,39177,12873,0
62328,26896,19189,33513
51305,23431,21635,25710
45514,19216,13367,24961
51376,33589,13751,16411
20186,19602,14191,0
46704,48486,16374,0
55356,16923,12094,37223
72168,32736,529,39379
42225,45668,20963,0
37872,35990,23973,0
42473,31756,11938,9523
